index,datum,javni,zasebni
305,2023-12-08,866.49,318.84
306,2023-12-09,866.49,318.84
307,2023-12-11,866.49,318.84
308,2023-12-12,866.73,318.84
309,2023-12-13,866.73,318.84
310,2023-12-14,866.73,318.84
311,2023-12-15,866.73,318.84
312,2023-12-16,866.73,318.84
313,2023-12-18,866.73,318.84
314,2023-12-19,866.53,318.84
315,2023-12-20,866.53,318.84
316,2023-12-21,866.53,318.84
317,2023-12-22,866.73,318.84
318,2023-12-23,866.73,318.84
319,2023-12-25,866.73,318.84
320,2023-12-26,866.73,318.84
321,2023-12-27,866.73,318.84
322,2023-12-28,866.73,318.84
323,2023-12-29,866.73,318.84
324,2023-12-30,866.73,318.84
325,2024-01-01,865.02,319.2
326,2024-01-02,865.02,319.2
327,2024-01-03,865.02,319.2
328,2024-01-04,866.82,317.84
329,2024-01-05,866.02,316.84
330,2024-01-06,866.02,317.14
331,2024-01-08,866.02,317.14
332,2024-01-09,867.62,317.14
333,2024-01-10,867.62,317.14
334,2024-01-11,867.0,317.14
335,2024-01-12,866.0,317.14
336,2024-01-13,866.2,317.14
337,2024-01-16,866.23,317.14
338,2024-01-17,866.23,317.14
339,2024-01-18,865.48,316.94
340,2024-01-19,865.48,316.94
341,2024-01-20,865.48,316.94
342,2024-01-22,865.48,316.94
343,2024-01-23,865.48,316.94
344,2024-01-24,865.49,318.64
345,2024-01-25,863.93,317.64
346,2024-01-26,864.55,317.64
347,2024-01-27,864.55,317.64
348,2024-01-29,864.55,317.64
349,2024-01-30,865.0,317.64
350,2024-01-31,864.2,317.64
351,2024-02-05,862.76,317.64
352,2024-02-06,861.16,317.64
353,2024-02-07,861.16,317.64
354,2024-02-08,862.16,317.64
355,2024-02-09,862.16,317.64
356,2024-02-10,861.16,317.64
357,2024-02-12,861.16,317.64
358,2024-02-13,861.76,317.14
359,2024-02-14,860.96,317.14
360,2024-02-15,860.96,317.14
361,2024-02-17,861.12,317.14
362,2024-02-19,861.12,317.14
363,2024-02-20,861.12,317.14
364,2024-02-21,859.22,317.14
365,2024-02-22,860.22,317.14
366,2024-02-23,860.22,317.14
367,2024-02-24,860.22,317.14
368,2024-02-26,860.22,317.14
369,2024-02-27,860.22,316.29
370,2024-02-28,862.66,316.29
371,2024-02-29,862.16,316.29
372,2024-03-01,863.3100000000001,315.44
373,2024-03-02,864.71,317.44
374,2024-03-04,864.71,317.44
375,2024-03-06,864.71,316.44
376,2024-03-07,865.51,317.34
377,2024-03-08,865.51,317.34
378,2024-03-09,865.51,317.87
379,2024-03-11,865.51,317.87
380,2024-03-12,865.51,316.44
381,2024-03-13,864.72,317.44
382,2024-03-14,864.22,317.44
383,2024-03-15,864.47,317.44
384,2024-03-16,864.47,317.44
385,2024-03-18,864.47,317.44
386,2024-03-19,864.47,317.44
387,2024-03-20,864.47,317.44
388,2024-03-21,864.36,317.44
389,2024-03-22,863.57,317.44
390,2024-03-23,863.57,317.44
391,2024-03-25,863.57,317.44
392,2024-03-26,863.57,317.44
393,2024-03-27,863.57,317.44
394,2024-03-28,863.57,317.44
395,2024-03-29,863.97,317.44
396,2024-03-30,864.17,317.88
397,2024-04-01,861.76,318.73
398,2024-04-02,861.76,318.73
399,2024-04-03,860.83,318.73
400,2024-04-04,861.4,318.73
401,2024-04-05,861.4,318.73
402,2024-04-06,861.4,318.73
403,2024-04-08,861.4,318.73
404,2024-04-09,861.4,318.73
405,2024-04-10,861.18,318.53
406,2024-04-11,861.18,318.17
407,2024-04-12,861.93,318.67
408,2024-04-13,861.93,318.67
409,2024-04-15,862.23,318.67
410,2024-04-16,862.23,318.67
411,2024-04-17,862.23,318.67
412,2024-04-18,862.23,318.67
413,2024-04-19,862.23,318.67
414,2024-04-20,862.23,318.67
415,2024-04-22,862.23,318.67
416,2024-04-23,862.33,318.67
417,2024-04-24,862.33,318.67
418,2024-04-25,860.33,318.67
419,2024-04-26,863.33,318.67
420,2024-04-27,863.83,318.67
421,2024-04-29,863.83,318.67
422,2024-04-30,863.83,318.67
423,2024-05-01,862.75,318.67
424,2024-05-02,862.75,318.67
425,2024-05-03,862.75,318.67
426,2024-05-04,863.65,318.67
427,2024-05-06,863.65,318.67
428,2024-05-07,863.61,317.67
429,2024-05-08,864.61,317.67
430,2024-05-09,864.3100000000001,317.67
431,2024-05-10,863.5600000000001,317.67
432,2024-05-11,863.5600000000001,317.67
433,2024-05-13,863.5600000000001,317.67
434,2024-05-14,865.5600000000001,317.67
435,2024-05-15,865.5600000000001,317.67
436,2024-05-16,865.5600000000001,317.67
437,2024-05-17,865.5600000000001,317.67
438,2024-05-18,865.5600000000001,317.67
439,2024-05-20,865.5600000000001,317.67
